mitre_id,name,tactic,description,url
T1055.011,Extra Window Memory Injection,Stealth|Privilege Escalation,Adversaries may inject malicious code into process via Extra Window Memory (EWM) in order to evade process-based defenses as well as possibly elevate privileges. EWM injection is a method of executing arbitrary code i...,https://attack.mitre.org/techniques/T1055/011
T1053.005,Scheduled Task,Execution|Persistence|Privilege Escalation,Adversaries may abuse the Windows Task Scheduler to perform task scheduling for initial or recurring execution of malicious code. There are multiple ways to access the Task Scheduler in Windows. The [schtasks](https:/...,https://attack.mitre.org/techniques/T1053/005
T1205.002,Socket Filters,Stealth|Persistence|Command And Control,"Adversaries may attach filters to a network socket to monitor then activate backdoors used for persistence or command and control. With elevated permissions, adversaries can use features such as the `libpcap` library ...",https://attack.mitre.org/techniques/T1205/002
T1560.001,Archive via Utility,Collection,"Adversaries may use utilities to compress and/or encrypt collected data prior to exfiltration. Many utilities include functionalities to compress, encrypt, or otherwise package data into a format that is easier/more s...",https://attack.mitre.org/techniques/T1560/001
T1021.005,VNC,Lateral Movement,Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to remotely control machines using Virtual Network Computing (VNC).  VNC is a platform-independent desktop sharing system that uses the R...,https://attack.mitre.org/techniques/T1021/005
T1047,Windows Management Instrumentation,Execution,Adversaries may abuse Windows Management Instrumentation (WMI) to execute malicious commands and payloads. WMI is designed for programmers and is the infrastructure for management data and operations on Windows system...,https://attack.mitre.org/techniques/T1047
T1687,Exploitation for Defense Impairment,Defense Impairment,"Adversaries may exploit vulnerabilities in security software, infrastructure, or defensive components to degrade, disable, or otherwise continue to impair their ability to prevent, detect, or respond to malicious acti...",https://attack.mitre.org/techniques/T1687
T1113,Screen Capture,Collection,Adversaries may attempt to take screen captures of the desktop to gather information over the course of an operation. Screen capturing functionality may be included as a feature of a remote access tool used in post-co...,https://attack.mitre.org/techniques/T1113
T1027.011,Fileless Storage,Stealth,"Adversaries may store data in ""fileless"" formats to conceal malicious activity from defenses. Fileless storage can be broadly defined as any format other than a file. Common examples of non-volatile fileless storage i...",https://attack.mitre.org/techniques/T1027/011
T1037,Boot or Logon Initialization Scripts,Persistence|Privilege Escalation,Adversaries may use scripts automatically executed at boot or logon initialization to establish persistence.(Citation: Mandiant APT29 Eye Spy Email Nov 22)(Citation: Anomali Rocke March 2019) Initialization scripts ca...,https://attack.mitre.org/techniques/T1037
T1557,Adversary-in-the-Middle,Credential Access|Collection,Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as [Network Sniffing](https://attack.mitre.org...,https://attack.mitre.org/techniques/T1557
T1033,System Owner/User Discovery,Discovery,"Adversaries may attempt to identify the primary user, currently logged in user, set of users that commonly uses a system, or whether a user is actively using the system. They may do this, for example, by retrieving ac...",https://attack.mitre.org/techniques/T1033
T1583,Acquire Infrastructure,Resource Development,"Adversaries may buy, lease, rent, or obtain infrastructure that can be used during targeting. A wide variety of infrastructure exists for hosting and orchestrating adversary operations. Infrastructure solutions includ...",https://attack.mitre.org/techniques/T1583
T1218.011,Rundll32,Stealth,"Adversaries may abuse rundll32.exe to proxy execution of malicious code. Using rundll32.exe, vice executing directly (i.e. [Shared Modules](https://attack.mitre.org/techniques/T1129)), may avoid triggering security to...",https://attack.mitre.org/techniques/T1218/011
T1613,Container and Resource Discovery,Discovery,"Adversaries may attempt to discover containers and other resources that are available within a containers environment. Other resources may include images, deployments, pods, nodes, and other information such as the st...",https://attack.mitre.org/techniques/T1613
T1583.007,Serverless,Resource Development,"Adversaries may purchase and configure serverless cloud infrastructure, such as Cloudflare Workers, AWS Lambda functions, or Google Apps Scripts, that can be used during targeting. By utilizing serverless infrastructu...",https://attack.mitre.org/techniques/T1583/007
T1132.001,Standard Encoding,Command And Control,Adversaries may encode data with a standard data encoding system to make the content of command and control traffic more difficult to detect. Command and control (C2) information can be encoded using a standard data e...,https://attack.mitre.org/techniques/T1132/001
T1027.009,Embedded Payloads,Stealth,Adversaries may embed payloads within other files to conceal malicious content from defenses. Otherwise seemingly benign files (such as scripts and executables) may be abused to carry and obfuscate malicious payloads ...,https://attack.mitre.org/techniques/T1027/009
T1556.003,Pluggable Authentication Modules,Defense Impairment|Persistence|Credential Access,"Adversaries may modify pluggable authentication modules (PAM) to access user credentials or enable otherwise unwarranted access to accounts. PAM is a modular system of configuration files, libraries, and executable fi...",https://attack.mitre.org/techniques/T1556/003
T1578.004,Revert Cloud Instance,Defense Impairment,"An adversary may revert changes made to a cloud instance after they have performed malicious activities in attempt to evade detection and remove evidence of their presence. In highly virtualized environments, such as ...",https://attack.mitre.org/techniques/T1578/004
T1592,Gather Victim Host Information,Reconnaissance,"Adversaries may gather information about the victim's hosts that can be used during targeting. Information about hosts may include a variety of details, including administrative data (ex: name, assigned IP, functional...",https://attack.mitre.org/techniques/T1592
T1596.003,Digital Certificates,Reconnaissance,Adversaries may search public digital certificate data for information about victims that can be used during targeting. Digital certificates are issued by a certificate authority (CA) in order to cryptographically ver...,https://attack.mitre.org/techniques/T1596/003
T1056.001,Keylogging,Collection|Credential Access,Adversaries may log user keystrokes to intercept credentials as the user types them. Keylogging is likely to be used to acquire credentials for new access opportunities when [OS Credential Dumping](https://attack.mitr...,https://attack.mitre.org/techniques/T1056/001
T1564.012,File/Path Exclusions,Stealth,Adversaries may attempt to hide their file-based artifacts by writing them to specific folders or file names excluded from antivirus (AV) scanning and other defensive capabilities. AV and other file-based scanners oft...,https://attack.mitre.org/techniques/T1564/012
T1222.002,Linux and Mac Permissions,Defense Impairment,Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files.(Citation: Hybrid Analysis Icacls1 June 2018)(Citation: Hybrid Analysis Icacls2 May 2018)...,https://attack.mitre.org/techniques/T1222/002
T1110.001,Password Guessing,Credential Access,"Adversaries with no prior knowledge of legitimate credentials within the system or environment may guess passwords to attempt access to accounts. Without knowledge of the password for an account, an adversary may opt ...",https://attack.mitre.org/techniques/T1110/001
